
Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds
151	Swing B		4th	4th	2nd	4th	2nd	3rd	—	—	—	5	849	0	2
152	Belgrade B	ESL	2nd	3rd	2nd	4th	—	—	—	—	—	5	464	0	2
153	Swing C		—	—	—	—	4th	4th	—	—	—	0	271	0	0


Rk	name	category	team	R1	R2	R3	R4	R5	R6	R7	R8	R9	Total	Avg	Stdev
1	Tamar Ben Meir	ESL	Tel Aviv A	80	80	82	84	83	83	86	85	84	747	83.00	1.94
2	Hadar Goldberg	ESL	Tel Aviv A	80	81	81	83	83	82	86	85	83	744	82.67	1.83
3	Matt Caito		LSE A	84	82	85	82	78	86	81	83	82	743	82.56	2.22
4	Ahmed El Sammak		LSE A	84	80	85	82	79	84	81	85	81	741	82.33	2.11
5=	Samuel Scheuer	ESL	Oxford B	81	87	81	81	81	82	81	82	82	738	82.00	1.83
5=	Dylan McCarthy		TCD Phil A	81	74	83	83	87	86	81	84	79	738	82.00	3.68
7	Jack Palmer		TCD Phil A	80	76	83	84	84	85	83	82	80	737	81.89	2.64
8	Jack Williams		TCD Hist B	79	81	86	84	78	83	78	82	84	735	81.67	2.71
9=	Ivan Kapelyukh		Imperial A	80	82	85	80	82	84	77	81	83	734	81.56	2.27
9=	Niki Angelov	ESL	Sofia A	79	82	81	81	83	82	82	84	80	734	81.56	1.42
11	Miri Muntean	ESL	Vienna A	82	84	81	81	79	78	88	82	78	733	81.44	2.99
12=	Daan Spackler	ESL	NSDV Trivium B	84	81	82	79	81	82	80	81	82	732	81.33	1.33
12=	Patrick Mayhew		Oxford B	82	87	81	81	79	80	82	81	79	732	81.33	2.26
12=	Martha McKinney-Perry		TCD Hist B	80	83	85	83	77	82	77	82	83	732	81.33	2.62
15	Rumen Marinov	ESL	Sofia A	79	82	81	81	83	82	81	83	79	731	81.22	1.40
16	Marina Kojić	ESL	Vienna A	81	83	79	81	81	78	87	82	78	730	81.11	2.64
17	Đorđe Radosavljević	ESL	Belgrade A	83	80	78	83	86	79	79	78	82	728	80.89	2.60
18	Pjotr Koster	ESL	NSDV Trivium B	83	80	81	78	80	82	80	81	81	726	80.67	1.33
19=	Chris Mentis Cravaris	ESL	Imperial A	78	82	83	79	83	79	76	82	82	724	80.44	2.36
19=	Gaby Lin		Oxford A	79	80	81	80	80	81	83	80	80	724	80.44	1.07
21	Novak Celebic	ESL	Belgrade A	84	78	78	82	86	80	78	76	81	723	80.33	3.06
22	Petar Žnidar	ESL	Zagreb A	82	80	81	76	84	80	80	85	74	722	80.22	3.29
23	Aniket Chakravorty		Oxford A	78	78	81	80	80	82	82	79	81	721	80.11	1.45
24	Ted Chang		LSE B	80	83	75	79	83	82	79	80	79	720	80.00	2.36
25	Izzie Blackburn		Bristol A	81	79	81	79	79	78	79	84	78	718	79.78	1.81
26=	Alexander Fraser		Glasgow A	80	79	81	81	77	78	80	79	82	717	79.67	1.49
26=	Ayal Mor	ESL	Haifa A	78	76	83	80	79	79	78	81	83	717	79.67	2.21
26=	Shaurya Chandravanshi	ESL	LSE B	79	82	76	80	82	82	79	79	78	717	79.67	1.94
29=	Goh Han Yang		Cambridge A	79	82	78	79	82	76	77	79	84	716	79.56	2.45
29=	Emma Chan		Glasgow A	80	80	80	80	76	79	80	81	80	716	79.56	1.34
29=	Naomi Gillis		Hebrew A	80	79	80	80	77	80	78	80	82	716	79.56	1.34
29=	Olja Bošnjak	ESL	Zagreb A	80	79	81	74	83	80	80	84	75	716	79.56	3.10
33=	Shaquille Scott Davis		LSE C	79	80	77	78	82	80	80	79	80	715	79.44	1.34
33=	Tomer Dovzhenko	ESL	Technion A	76	82	79	80	79	81	78	81	79	715	79.44	1.71
35=	Tal Ratner	ESL	Haifa A	77	76	83	80	78	78	79	80	83	714	79.33	2.31
35=	Sinziana Stanciu		TCD Hist C	75	78	82	79	81	84	75	78	82	714	79.33	2.98
35=	Mira Eberdorfer	ESL	Vienna B	81	81	81	78	76	79	80	79	79	714	79.33	1.56
35=	Vladimira Šuflaj	ESL	Zagreb B	80	78	78	78	81	79	81	78	81	714	79.33	1.33
39=	Isabelle Sim Yun Yi		Cambridge A	79	83	76	78	82	77	77	78	83	713	79.22	2.57
39=	Jamie Beverstock		Edinburgh A	79	82	76	80	82	80	79	80	75	713	79.22	2.25
39=	Tanae Rao		Oxford C	78	77	80	74	79	80	77	81	87	713	79.22	3.39
39=	Nadav Kiri	ESL	Technion A	78	81	80	79	78	81	76	81	79	713	79.22	1.62
39=	Joris Graff	ESL	Utrecht A	75	82	77	82	81	79	84	80	73	713	79.22	3.39
44=	Sarah Dewar		Glasgow B	81	81	73	77	81	79	78	84	78	712	79.11	2.96
44=	Menachem Weber		Open A	77	78	80	76	82	78	80	79	82	712	79.11	1.97
44=	Madigan Copley		Oxford C	78	77	81	74	78	81	76	81	86	712	79.11	3.35
44=	Harmen de Jong	ESL	Utrecht A	76	83	77	82	81	80	82	79	72	712	79.11	3.35
48	Matija Pušnik	ESL	Ljubljana A	77	78	75	78	82	82	83	81	75	711	79.00	2.91
49=	Rachel Homnick		Hebrew A	79	80	80	80	76	79	76	80	80	710	78.89	1.59
49=	Robert Raos	ESL	NSDV Trivium A	78	79	78	81	78	79	82	79	76	710	78.89	1.66
49=	Boaz Katzir	ESL	Tel Aviv B	77	82	78	80	79	81	76	81	76	710	78.89	2.13
52=	Cerys Walsh		Edinburgh A	78	81	79	80	82	78	76	80	75	709	78.78	2.15
52=	Wajeeh Ur Rehman Maaz		KCL A	81	80	79	80	73	78	77	79	82	709	78.78	2.48
52=	Keerthana Bathula		LSE C	78	80	75	78	83	79	79	78	79	709	78.78	1.99
52=	Emily Ni		Sciences Po Reims A	77	81	76	79	78	80	80	80	78	709	78.78	1.55
56=	Alexandr Sušić	ESL	Edinburgh B	79	81	76	78	82	80	74	79	79	708	78.67	2.31
56=	Daphne Wong	ESL	KCL A	78	79	77	80	74	80	78	79	83	708	78.67	2.31
56=	Lucija Ivanuša	ESL	Ljubljana A	77	79	75	79	83	81	79	81	74	708	78.67	2.75
59	Paula Djaković	ESL	Zagreb B	79	78	76	76	82	79	80	77	80	707	78.56	1.89
60=	Ana Coman	ESL	Bucharest A	79	81	79	76	77	78	77	76	83	706	78.44	2.22
60=	Carasel Valeriu	ESL	Bucharest A	80	81	80	76	78	78	75	75	83	706	78.44	2.63
60=	Daniela Williams		TCD Hist A	83	74	81	79	77	79	76	78	79	706	78.44	2.50
63=	Donncha Murphy		TCD Hist C	75	79	81	77	79	80	74	79	81	705	78.33	2.36
63=	Annie Schwartz	ESL	Tel Aviv C	79	79	80	77	78	76	80	78	78	705	78.33	1.25
