
Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds	Irons
155	Swing C		—	—	1st	—	—	—	—	—	—	3	151	1	0	0
156	Swing G		—	—	—	—	4th	3rd	4th	3rd	4th	2	715	0	0	2
157	Swing F		—	—	—	—	2nd	4th	—	—	—	2	295	0	1	1
158	Swing B		4th	4th	4th	4th	3rd	4th	—	—	—	1	849	0	0	1
159=	UCL C		—	—	—	—	—	—	—	—	—	—	—	0	0	0
159=	Dundee A		—	—	—	—	—	—	—	—	—	—	—	0	0	0


Rk	name	category	team	R1	R2	R3	R4	R5	R6	R7	R8	R9	Total	Avg	Stdev
1	Alek Selveliev	ESL	Sofia A	83	82	84	79	81	82	81	80	85	737	81.89	1.79
2	Maria Matcheva	ESL	UNWE A	83	77	81	83	79	81	84	83	84	735	81.67	2.26
3=	Yishai Binnes		HUJI A	82	79	83	82	79	83	80	82	83	733	81.44	1.57
3=	Zarina Bell-Gam		Oxford D	82	83	82	82	83	79	77	81	84	733	81.44	2.06
3=	Naomi Panovka		TCD Hist PW	82	82	82	84	83	81	78	82	79	733	81.44	1.77
6=	Naomi Gillis		HUJI A	81	80	82	82	81	81	79	83	83	732	81.33	1.25
6=	Velina Andonova	ESL	Sofia A	82	83	83	79	80	82	80	80	83	732	81.33	1.49
8	Mark Rothery		Oxford A	80	79	79	85	79	82	82	82	83	731	81.22	1.99
9	Biser Angelov	ESL	UNWE A	83	75	80	83	80	80	83	83	83	730	81.11	2.56
10	Ayal Mor	ESL	OpenU A	80	81	84	80	80	83	77	83	80	728	80.89	2.02
11	Andrew Chen		Oxford A	80	78	80	83	81	81	82	81	80	726	80.67	1.33
12	Aniket Chakravorty		Oxford D	81	81	81	80	82	80	76	80	84	725	80.56	2.01
13=	Mihailo Babić	ESL	Belgrade B	82	77	84	77	82	75	83	81	83	724	80.44	3.06
13=	Wajeeh Maaz (Ineligible)		Swing KCL (2)	80	81	83	80	85	83	78	78	76	724	80.44	2.71
15=	Ana Coman	ESL	Bucharest A	80	82	81	79	77	76	85	81	82	723	80.33	2.58
15=	Elena Radulescu	ESL	Oxford B	79	81	80	81	81	81	78	80	82	723	80.33	1.15
15=	Ahmed Hussain		Oxford F	80	81	78	83	78	81	81	81	80	723	80.33	1.49
18=	Petar Žnidar	ESL	Zagreb B	82	78	83	79	81	80	79	81	79	722	80.22	1.55
18=	Mislav Mikota	ESL	Zagreb B	83	77	83	79	82	80	78	81	79	722	80.22	2.04
18=	Aidan Woo		Oxford B	80	81	80	78	81	80	79	81	82	722	80.22	1.13
18=	Gabrielle Lin		Oxford C	78	82	80	83	80	81	79	79	80	722	80.22	1.47
18=	Novak Celebic	ESL	Belgrade A	80	80	79	83	78	77	80	84	81	722	80.22	2.10
18=	Đorđe Radosavljević	ESL	Belgrade A	80	81	82	83	79	77	78	81	81	722	80.22	1.81
18=	Guy Wolf	ESL	Technion A	81	78	83	80	81	73	83	82	81	722	80.22	2.94
25=	Pranav Baskar		Oxford F	79	79	78	84	77	82	80	82	80	721	80.11	2.08
