
Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds	3rds	Irons
185	Ateneo C		1st	3rd	3rd	4th	2nd	2nd	2nd	4th	4th	11	1377	1	3	2	0
186	UT MARA C	ESL	2nd	2nd	4th	2nd	4th	1st	4th	3rd	3rd	11	1376	1	3	2	0
187	TCD Phil C		1st	4th	1st	2nd	4th	3rd	4th	3rd	3rd	11	1375	2	1	3	0
188	Bonaparte A	ESL	4th	3rd	1st	2nd	4th	3rd	1st	4th	3rd	11	1372	2	1	3	0
189	De La Salle A	ESL	3rd	2nd	2nd	4th	1st	2nd	4th	3rd	4th	11	1370	1	3	2	0
190	Comillas A	ESL, EFL	1st	4th	3rd	4th	1st	4th	3rd	1st	4th	11	1369	3	0	2	0
191	Chicago E		4th	1st	4th	1st	1st	3rd	4th	3rd	4th	11	1368	3	0	2	0
192	Gadjah Mada A	ESL, EFL	3rd	2nd	4th	2nd	3rd	1st	4th	4th	2nd	11	1368	1	3	2	0
193	UCL D		4th	2nd	1st	3rd	4th	1st	2nd	4th	4th	11	1366	2	2	1	0
194	Queensland B		4th	3rd	1st	1st	4th	3rd	2nd	3rd	4th	11	1366	2	1	3	0
195	Durham A		1st	3rd	4th	4th	1st	4th	2nd	4th	2nd	11	1361	2	2	1	0
196	LCC A		4th	2nd	3rd	1st	3rd	4th	3rd	4th	1st	11	1352	2	1	3	0
197	Carleton B		3rd	3rd	4th	4th	1st	3rd	3rd	1st	3rd	11	1352	2	0	5	0
198	Berlin A	ESL, EFL	3rd	1st	4th	4th	1st	3rd	4th	4th	1st	11	1349	3	0	2	0
199	Vanderbilt B		2nd	4th	3rd	1st	2nd	4th	3rd	3rd	3rd	11	1349	1	2	4	0
200	Davidson A		2nd	4th	4th	4th	2nd	2nd	1st	4th	2nd	11	1341	1	4	0	0
201	UNAIR A	ESL, EFL	3rd	4th	2nd	2nd	3rd	4th	2nd	2nd	3rd	11	1341	0	4	3	0
202	Hong Kong A	ESL	4th	4th	3rd	4th	1st	1st	3rd	1st	4th	11	1339	3	0	2	0
203	Zurich A	ESL	4th	1st	2nd	4th	4th	4th	3rd	1st	2nd	11	1337	2	2	1	0
