
Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds	3rds	Irons
129	MSUDG A	ESL	—	3rd	3rd	2nd	3rd	2nd	2nd	2nd	2nd	13	1201	0	5	3	0
130	UCLA C		2nd	3rd	2nd	4th	1st	3rd	2nd	3rd	4th	12	1400	1	3	3	0
131	ASDV OI	ESL	2nd	3rd	2nd	2nd	2nd	2nd	4th	3rd	4th	12	1388	0	5	2	0
132	UNSW C		3rd	1st	4th	1st	3rd	1st	3rd	4th	4th	12	1382	3	0	3	0
133	UADS A		4th	1st	3rd	2nd	2nd	2nd	4th	3rd	3rd	12	1376	1	3	3	0
134	QDU B		3rd	2nd	3rd	3rd	1st	2nd	3rd	4th	3rd	12	1375	1	2	5	0
135	UCLA D		1st	4th	3rd	3rd	4th	1st	3rd	4th	1st	12	1373	3	0	3	0
136	GUU A		3rd	3rd	3rd	1st	3rd	4th	1st	3rd	3rd	12	1373	2	0	6	0
137	QDU A		4th	2nd	3rd	1st	4th	3rd	1st	3rd	3rd	12	1367	2	1	4	0
138	McGill B		2nd	4th	1st	3rd	2nd	4th	4th	1st	3rd	12	1362	2	2	2	0
139	LC A		3rd	1st	2nd	2nd	4th	3rd	3rd	2nd	4th	12	1362	1	3	3	0
140	USPd A	ESL, EFL	2nd	4th	4th	1st	4th	2nd	3rd	3rd	1st	12	1356	2	2	2	0
141	Rosario B	ESL, EFL	4th	2nd	2nd	4th	3rd	1st	3rd	3rd	2nd	12	1356	1	3	3	0
142	NU A		4th	1st	4th	3rd	1st	4th	2nd	1st	4th	12	1355	3	1	1	0
143	Bates C		3rd	2nd	1st	3rd	3rd	3rd	4th	4th	1st	12	1353	2	1	4	0
144	UKI A	ESL, EFL	3rd	3rd	1st	4th	4th	2nd	3rd	2nd	2nd	12	1352	1	3	3	0
145	Rosario A	ESL, EFL	4th	2nd	2nd	2nd	4th	1st	4th	4th	1st	12	1348	2	3	0	0
146	MUST A	ESL, EFL	3rd	4th	2nd	3rd	1st	4th	3rd	1st	3rd	12	1341	2	1	4	0
147	UTJamaica A		4th	1st	2nd	3rd	4th	3rd	3rd	2nd	2nd	12	1339	1	3	3	0
148	Colgate B		2nd	2nd	4th	4th	2nd	4th	2nd	2nd	2nd	12	1339	0	6	0	0
149	UTJamaica B		4th	4th	1st	4th	1st	4th	2nd	2nd	2nd	12	1334	2	3	0	0
150	Tokyo D	ESL	1st	4th	4th	4th	4th	2nd	1st	2nd	2nd	12	1329	2	3	0	0
151	PUCP A	ESL, EFL	4th	3rd	2nd	1st	2nd	3rd	3rd	3rd	4th	11	1381	1	2	4	0
152	MQU A		2nd	3rd	3rd	4th	1st	3rd	4th	1st	4th	11	1365	2	1	3	0
153	LSE B		2nd	3rd	4th	2nd	1st	4th	3rd	4th	2nd	11	1363	1	3	2	0
154	NU B		2nd	4th	1st	3rd	4th	1st	4th	2nd	4th	11	1361	2	2	1	0
155	UVM A		2nd	1st	4th	4th	3rd	2nd	2nd	4th	3rd	11	1358	1	3	2	0
156	Vanderbilt B		3rd	4th	1st	4th	2nd	4th	1st	2nd	4th	11	1353	2	2	1	0
157	CUDS B		3rd	4th	2nd	1st	4th	2nd	4th	1st	4th	11	1350	2	2	1	0
158	WUDU A		2nd	4th	3rd	2nd	3rd	1st	3rd	3rd	4th	11	1350	1	2	4	2
159	Athens KM	ESL, EFL	3rd	4th	1st	3rd	1st	3rd	4th	2nd	4th	11	1349	2	1	3	0
160	Trincoll BR	ESL	3rd	3rd	2nd	4th	3rd	3rd	3rd	2nd	2nd	11	1348	0	3	5	0
161	Wisconsin B		3rd	4th	1st	3rd	4th	1st	4th	4th	1st	11	1347	3	0	2	0
162	MBY A		4th	3rd	3rd	2nd	2nd	3rd	3rd	3rd	2nd	11	1347	0	3	5	0
163	MBY B		3rd	4th	4th	1st	4th	2nd	1st	3rd	3rd	11	1342	2	1	3	0
164	Air Force B		2nd	4th	2nd	3rd	1st	4th	2nd	4th	3rd	11	1340	1	3	2	0
165	Harvard E	ESL	4th	3rd	3rd	3rd	2nd	2nd	4th	3rd	1st	11	1339	1	2	4	0
166	MUST B	ESL, EFL	4th	4th	2nd	3rd	1st	4th	4th	1st	2nd	11	1330	2	2	1	0
167	UVM Lassies		4th	2nd	3rd	3rd	4th	3rd	2nd	1st	3rd	11	1326	1	2	4	0
168	TAU MS	ESL	3rd	4th	2nd	4th	3rd	3rd	3rd	2nd	1st	11	1298	1	2	4	0
169	WUDU B		2nd	2nd	4th	3rd	2nd	4th	2nd	3rd	4th	10	1375	0	4	2	0
170	Alaska B		2nd	4th	1st	3rd	2nd	4th	4th	4th	2nd	10	1369	1	3	1	0
171	TEC CEM L	ESL, EFL	4th	1st	2nd	4th	2nd	4th	2nd	3rd	4th	10	1361	1	3	1	0
172	UCDS A	ESL	3rd	1st	3rd	4th	2nd	3rd	3rd	3rd	4th	10	1359	1	1	5	0
173	DCDC A		3rd	2nd	4th	4th	3rd	1st	4th	4th	1st	10	1350	2	1	2	0
174	MBY C		3rd	4th	1st	4th	2nd	2nd	2nd	4th	4th	10	1346	1	3	1	0
175	Cornell D		4th	4th	4th	1st	3rd	3rd	2nd	1st	4th	10	1343	2	1	2	0
176	Air Force A		3rd	4th	2nd	3rd	4th	1st	1st	4th	4th	10	1341	2	1	2	0
177	KDS A	ESL	4th	1st	3rd	4th	2nd	3rd	4th	4th	1st	10	1339	2	1	2	0
178	PDS B		2nd	4th	4th	2nd	3rd	4th	3rd	2nd	2nd	10	1339	0	4	2	0
179	PDS A		3rd	2nd	4th	4th	2nd	2nd	4th	2nd	3rd	10	1337	0	4	2	0
180	Fordham B		2nd	1st	3rd	4th	2nd	3rd	4th	4th	3rd	10	1336	1	2	3	0
181	SDU Oedip	ESL, EFL	4th	1st	4th	4th	1st	4th	3rd	2nd	3rd	10	1334	2	1	2	0
182	MAD B		4th	2nd	3rd	3rd	4th	2nd	1st	4th	3rd	10	1333	1	2	3	0
183	Colgate C		4th	2nd	3rd	2nd	1st	4th	4th	4th	2nd	10	1319	1	3	1	0
184	ICU A	ESL, EFL	4th	3rd	4th	2nd	4th	4th	1st	1st	3rd	10	1313	2	1	2	0
185	Tokyo C	ESL	3rd	2nd	4th	3rd	4th	3rd	1st	3rd	4th	9	1353	1	1	4	0
186	Queensland A		1st	4th	4th	4th	3rd	2nd	2nd	4th	3rd	9	1342	1	2	2	0
187	USPd B	ESL, EFL	4th	1st	4th	2nd	4th	3rd	3rd	3rd	3rd	9	1339	1	1	4	0
188	Clemson A		4th	2nd	4th	2nd	3rd	3rd	2nd	3rd	4th	9	1333	0	3	3	0
189	Fordham A		2nd	4th	2nd	4th	2nd	2nd	4th	3rd	4th	9	1332	0	4	1	0
190	Dartmouth C		3rd	3rd	4th	1st	3rd	4th	4th	1st	4th	9	1319	2	0	3	0
191	LC B		2nd	4th	4th	4th	2nd	4th	2nd	4th	1st	9	1317	1	3	0	0
192	TAU RO	ESL	3rd	4th	3rd	1st	4th	4th	4th	1st	3rd	9	1310	2	0	3	0
193	SDUFRJ B	ESL, EFL	4th	4th	2nd	4th	3rd	1st	4th	3rd	2nd	9	1306	1	2	2	1
194	Swing 9 (R5)		—	—	—	—	1st	3rd	1st	2nd	—	9	596	2	1	1	4
195	Swing 11 (R5)		—	—	—	—	2nd	1st	3rd	1st	—	9	594	2	1	1	4
196	SDUFRJ A	ESL, EFL	4th	4th	3rd	3rd	2nd	4th	1st	3rd	4th	8	1331	1	1	3	0
197	Alaska A		3rd	4th	3rd	4th	4th	1st	2nd	4th	3rd	8	1327	1	1	3	0
198	Vanderbilt C		4th	3rd	4th	1st	4th	4th	1st	3rd	4th	8	1324	2	0	2	0
199	TCD Hist B		4th	1st	3rd	4th	3rd	3rd	4th	4th	2nd	8	1323	1	1	3	0
200	Colgate A		3rd	3rd	4th	4th	2nd	4th	3rd	3rd	2nd	8	1321	0	2	4	0
201=	SPU A		4th	2nd	4th	3rd	4th	2nd	4th	4th	1st	8	1319	1	2	1	0
201=	USPd C	ESL, EFL	4th	4th	4th	2nd	1st	3rd	4th	2nd	4th	8	1319	1	2	1	0
203	SDUC A	ESL, EFL	4th	3rd	3rd	4th	2nd	2nd	3rd	4th	3rd	8	1312	0	2	4	0
204	Rosario C	ESL, EFL	3rd	4th	3rd	3rd	4th	4th	2nd	3rd	3rd	7	1328	0	1	5	0
205	TU SEDA	ESL, EFL	4th	3rd	4th	3rd	2nd	1st	4th	4th	4th	7	1295	1	1	2	0
206	Swing 10 (R5)		—	—	—	—	3rd	2nd	3rd	1st	4th	7	719	1	1	2	5
207	UCV A	ESL, EFL	4th	3rd	4th	3rd	1st	4th	4th	3rd	4th	6	1285	1	0	3	0
208	CTC A		4th	4th	3rd	4th	4th	1st	4th	2nd	—	6	1132	1	1	1	0
209	Wheaton A		4th	3rd	4th	4th	3rd	3rd	2nd	4th	4th	5	1263	0	1	3	0
210	Chula A		4th	3rd	4th	3rd	3rd	4th	4th	4th	2nd	5	1253	0	1	3	0
211	UNIMET A	ESL, EFL	4th	4th	3rd	4th	4th	3rd	4th	3rd	3rd	4	1219	0	0	4	0
212	CTC B		4th	4th	4th	4th	4th	4th	3rd	2nd	—	3	1116	0	1	1	0
213	Swing 8 (USED R4)		—	—	—	1st	—	—	—	—	—	3	148	1	0	0	1
214	Swing 7 (USED R4)		—	—	—	2nd	—	—	—	—	—	2	148	0	1	0	1
215	Swing 2 (USED R1)		3rd	—	—	—	—	—	—	—	—	1	155	0	0	1	1
216	Swing 3 (USED R1)		3rd	—	—	—	—	—	—	—	—	1	150	0	0	1	1
217	Swing 6 (USED R4)		—	—	—	3rd	—	—	—	—	—	1	147	0	0	1	1
218	Swing 5 (USED R1)		4th	—	—	—	—	—	—	—	—	0	150	0	0	0	1
219	Swing 4 (USED R1)		4th	—	—	—	—	—	—	—	—	0	147	0	0	0	1
220	Swing 1  (USED R1)		4th	—	—	—	—	—	—	—	—	0	146	0	0	0	1
221=	ALU A		—	—	—	—	—	—	—	—	—	—	—	0	0	0	0
221=	CityUHK A		—	—	—	—	—	—	—	—	—	—	—	0	0	0	0
221=	PKU A	ESL, EFL	—	—	—	—	—	—	—	—	—	—	—	0	0	0	0
221=	Strathmore A	ESL	—	—	—	—	—	—	—	—	—	—	—	0	0	0	0
221=	Rochester A		—	—	—	—	—	—	—	—	—	—	—	0	0	0	0
221=	Swing 12 (R6)		—	—	—	—	—	—	—	—	—	—	—	0	0	0	0
221=	Swing 13 (R6)		—	—	—	—	—	—	—	—	—	—	—	0	0	0	0
221=	Swing 14 (R6)		—	—	—	—	—	—	—	—	—	—	—	0	0	0	0


Rk	name	category	team	R1	R2	R3	R4	R5	R6	R7	R8	R9	Total	Avg	Stdev
1	Matthew Toomey		Sydney C	81	83	83	86	85	80	84	85	84	751	83.44	1.83
2=	Tejas Subramaniam		Stanford A	82	84	83	87	84	83	82	80	85	750	83.33	1.89
2=	Ryan Lafferty		Dartmouth A	84	79	81	85	83	84	85	85	84	750	83.33	1.94
2=	Charlie Ryan		Sydney C	81	82	82	86	84	81	84	86	84	750	83.33	1.83
5=	Udai Kamath		Sydney B	82	84	81	82	82	85	85	86	81	748	83.11	1.79
5=	Jack Story		Sydney B	81	84	81	83	81	85	84	86	83	748	83.11	1.73
7	Amitai Ben Porat	English as a Second Language	OpenU A	83	81	83	82	82	87	81	83	83	745	82.78	1.69
8	Conna Leslie-Keefe		UNSW A	81	83	84	82	83	82	83	84	82	744	82.67	0.94
9	Elena Rădulescu	English as a Second Language	Oxford A	81	80	83	86	80	80	83	84	85	742	82.44	2.17
10	Lachie Doyle		UNSW A	80	82	84	81	82	81	83	85	83	741	82.33	1.49
11=	Sophie Shead		Sydney A	82	84	81	82	80	78	83	86	84	740	82.22	2.25
11=	Elinor Stephenson		Sydney A	81	83	83	81	79	80	83	88	82	740	82.22	2.44
13=	Aidan Young Je Woo		Oxford A	81	81	82	85	81	79	82	83	85	739	82.11	1.85
13=	Ayal Mor	English as a Second Language	OpenU A	82	79	83	82	81	85	82	83	82	739	82.11	1.52
13=	Madeleine Wu		Dartmouth A	83	79	80	83	81	83	84	84	82	739	82.11	1.66
16	Lucie Slamova		Manchester A	80	83	84	84	82	80	80	81	84	738	82.00	1.70
17	Elizabeth Li		Stanford A	80	83	82	86	82	81	81	80	82	737	81.89	1.73
18	Tajei Puthucheary		Oxford C	82	81	79	82	84	83	82	82	81	736	81.78	1.31
19	Petar Žnidar	English as a Second Language, English as a Foreign Language	Zagreb A	83	81	81	82	82	82	79	84	81	735	81.67	1.33
20	Nasa Tsuchiya	English as a Second Language	Tokyo A	80	81	81	83	82	80	82	83	82	734	81.56	1.07
21	Chris Mentis Cravaris		Oxford C	81	82	80	81	83	81	83	82	80	733	81.44	1.07
22=	Kotaro Yoshida	English as a Second Language	Tokyo A	82	80	80	81	82	80	82	83	82	732	81.33	1.05
22=	Jagoda Sabljić	English as a Second Language, English as a Foreign Language	Zagreb A	83	80	81	83	80	82	78	83	82	732	81.33	1.63
24	Julian Bako		Sydney G	79	80	82	84	80	80	80	83	83	731	81.22	1.69
25=	Rahul Kalavagunta		PDP E	80	82	83	81	79	80	82	85	78	730	81.11	2.02
25=	Archie Wolifson		Sydney G	79	80	83	81	80	81	80	83	83	730	81.11	1.45
25=	Matt Mauriello		Harvard A	80	83	78	81	84	79	79	83	83	730	81.11	2.08
25=	Wajeeh Maaz		Manchester A	79	82	83	83	82	80	78	80	83	730	81.11	1.79
25=	Sarenna McKellar		McGill C	80	82	78	82	81	83	83	79	82	730	81.11	1.66
30=	Alessandro Perri		UChicago B	78	83	82	77	82	83	84	82	78	729	81.00	2.45
30=	Roy Tiefer		UChicago B	78	81	82	78	81	84	83	83	79	729	81.00	2.11
30=	Ted Chang		Harvard A	80	83	79	79	84	78	80	83	83	729	81.00	2.11
