Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds	Irons	3rds
132	GUU C		4th	2nd	1st	3rd	3rd	3rd	2nd	4th	3rd	11	1381	1	2	0	4
133	HUJI IS		1st	4th	4th	3rd	1st	3rd	3rd	4th	2nd	11	1361	2	1	0	3
134	UCD L&amp;H D		2nd	4th	1st	1st	3rd	3rd	4th	4th	3rd	11	1357	2	1	0	3
135	Tartu B	ESL	1st	3rd	3rd	3rd	3rd	4th	3rd	1st	4th	11	1356	2	0	0	5
136	TCD Hist EK		3rd	3rd	3rd	2nd	2nd	3rd	2nd	3rd	4th	11	1349	0	3	0	5
137	Leiden RH		2nd	4th	3rd	2nd	4th	4th	2nd	3rd	1st	11	1346	1	3	0	2
138	NTUA A	ESL	2nd	2nd	3rd	4th	4th	2nd	4th	3rd	1st	11	1345	1	3	0	2
139	Warsaw PW	ESL	1st	3rd	4th	4th	1st	3rd	4th	3rd	2nd	11	1341	2	1	0	3
140	Imperial C		3rd	1st	1st	4th	2nd	3rd	4th	4th	3rd	11	1337	2	1	0	3
141	Koç A	ESL	2nd	4th	4th	2nd	3rd	1st	1st	4th	4th	11	1334	2	2	0	1
142	Tel Aviv B	ESL	3rd	4th	3rd	3rd	2nd	2nd	3rd	1st	4th	11	1334	1	2	0	4
143	Bar-Ilan LH	ESL	4th	3rd	3rd	1st	3rd	4th	1st	2nd	4th	11	1333	2	1	0	3
144	ACG A	ESL	3rd	4th	3rd	2nd	4th	2nd	2nd	4th	1st	11	1322	1	3	0	2
145	Weizmann C	ESL	4th	4th	1st	1st	4th	3rd	4th	2nd	2nd	11	1317	2	2	0	1
146	BGU C	ESL	3rd	3rd	2nd	3rd	4th	1st	2nd	4th	3rd	11	1315	1	2	0	4
147	TUD A		2nd	4th	2nd	4th	3rd	2nd	4th	3rd	1st	11	1307	1	3	0	2
148	UCD LawSoc A		2nd	1st	2nd	4th	4th	4th	4th	1st	4th	10	1370	2	2	0	0
149	Warsaw MI	ESL	3rd	1st	4th	3rd	4th	1st	4th	4th	2nd	10	1356	2	1	0	2
150	Reichman C	ESL	2nd	4th	4th	1st	3rd	4th	1st	4th	3rd	10	1349	2	1	0	2
